candidate_id,rank,score,title,location,experience_years,career_fit,role_fit,skill_fit,experience_fit,company_fit,logistics_fit,behavior_fit,risk_penalty,risk_flags,top_evidence
CAND_0007009,14,0.999987,Recommendation Systems Engineer,"Noida, Uttar Pradesh, India",7.9,1.0000,0.8923,1.0000,0.9461,1.0000,0.9600,0.7342,0.0000,,Recommendation Systems Engineer with semantic search; Recommendation Systems Engineer with semantic search; Recommendation Systems Engineer with semantic search; Learning to Rank; Embeddings; BM25
CAND_0068351,15,0.999986,Lead AI Engineer,"Delhi, Delhi, India",6.4,1.0000,0.9734,0.9540,0.9641,1.0000,0.8200,0.6180,0.0000,,Lead AI Engineer with ranking; Senior Machine Learning Engineer with ranking; Staff Machine Learning Engineer; Qdrant; Ranking Systems; Search Backend
CAND_0052328,16,0.999985,Recommendation Systems Engineer,"Pune, Maharashtra, India",6.5,0.9801,0.8923,1.0000,0.9701,0.9217,1.0000,0.7701,0.0000,,Recommendation Systems Engineer with semantic search; Senior Data Scientist with production ML; Learning to Rank; Vector Search; Sentence Transformers
CAND_0028793,17,0.998032,Search Engineer,"Trivandrum, Kerala, India",7.2,1.0000,0.8822,0.8347,0.9880,0.9400,0.8100,0.7206,0.0000,,Search Engineer with semantic search; Machine Learning Engineer with ranking; Senior Data Scientist with semantic search; Embeddings; Learning to Rank; Information Retrieval
CAND_0046064,18,0.996041,Senior NLP Engineer,"Coimbatore, Tamil Nadu, India",8.9,1.0000,0.8848,1.0000,0.8863,0.7800,0.7300,0.8131,0.0000,,Lead AI Engineer with ranking; Senior ML Engineer — Search & Ranking with ranking; Senior NLP Engineer with ranking; BM25; Semantic Search; Pinecone
CAND_0050876,19,0.996040,Applied ML Engineer,"Kolkata, West Bengal, India",6.0,1.0000,0.8224,0.9458,0.9402,0.9060,0.7300,0.7990,0.0000,,Applied ML Engineer with ranking; AI Engineer with ranking; Recommendation Systems Engineer with ranking; Sentence Transformers; FAISS; Qdrant
CAND_0061265,20,0.995698,Recommendation Systems Engineer,"Delhi, Delhi, India",6.6,0.9684,0.8923,0.9604,0.9761,0.9243,0.9100,0.7070,0.0000,,Recommendation Systems Engineer with semantic search; Senior Data Scientist with ranking; Senior Data Scientist with production ML; Learning to Rank; Embeddings; Vector Search
CAND_0075574,21,0.995367,Machine Learning Engineer,"Bangalore, Karnataka, India",5.7,1.0000,0.7909,1.0000,0.9222,0.9371,0.7800,0.7271,0.0000,,Machine Learning Engineer with ranking; Machine Learning Engineer with ranking; NLP Engineer with semantic search; Weaviate; BM25; Vector Search
CAND_0039383,22,0.994504,Applied ML Engineer,"Gurgaon, Haryana, India",7.1,1.0000,0.8112,0.9887,0.9940,0.9400,0.8800,0.6837,0.0000,,Applied ML Engineer with ranking; Machine Learning Engineer with semantic search; NLP Engineer with ranking; Vector Search; Recommendation Systems; FAISS
CAND_0078492,23,0.991994,Recommendation Systems Engineer,"Kochi, Kerala, India",5.1,1.0000,0.8923,1.0000,0.8863,0.9398,0.8100,0.6940,0.0000,,Recommendation Systems Engineer with ranking; Senior Data Scientist with ranking; FAISS; Recommendation Systems; Qdrant
CAND_0027691,24,0.991242,NLP Engineer,"Pune, Maharashtra, India",6.5,1.0000,0.7424,1.0000,0.9701,0.9790,1.0000,0.7602,0.0000,,Applied ML Engineer with semantic search; NLP Engineer with production ML; AI Engineer with ranking; Recommendation Systems; Semantic Search; Weaviate
CAND_0086151,25,0.990544,Recommendation Systems Engineer,"Vizag, Andhra Pradesh, India",7.7,1.0000,0.8923,1.0000,0.9581,1.0000,0.7200,0.5889,0.0000,,Recommendation Systems Engineer with ranking; Search Engineer with ranking; AI Engineer with semantic search; Recommendation Systems; Embeddings; Qdrant
CAND_0040117,26,0.990396,Recommendation Systems Engineer,"Vizag, Andhra Pradesh, India",6.5,1.0000,0.8923,0.8376,0.9701,0.9217,0.7300,0.7206,0.0000,,Recommendation Systems Engineer with ranking; Applied ML Engineer with semantic search; Embeddings; FAISS; BM25
CAND_0083307,27,0.989182,Search Engineer,"Vizag, Andhra Pradesh, India",7.8,1.0000,0.8822,1.0000,0.9521,0.9400,0.7300,0.6534,0.0000,,Search Engineer with semantic search; Machine Learning Engineer with ranking; NLP Engineer with ranking; Machine Learning Engineer with semantic search; Vector Search; Semantic Search; Learning to Rank
CAND_0074735,28,0.984689,Applied ML Engineer,"Chandigarh, Chandigarh, India",5.5,1.0000,0.8196,1.0000,0.9102,1.0000,0.6800,0.7443,0.0000,,Applied ML Engineer with semantic search; Search Engineer with semantic search; NLP Engineer with production ML; Information Retrieval; Learning to Rank; Semantic Search
CAND_0027801,29,0.981826,NLP Engineer,"Hyderabad, Telangana, India",7.4,1.0000,0.7648,1.0000,0.9761,0.8800,0.8900,0.6962,0.0000,,Machine Learning Engineer with semantic search; Recommendation Systems Engineer with semantic search; NLP Engineer with production ML; Learning to Rank; FAISS; Vector Search
CAND_0007412,30,0.980606,Applied ML Engineer,"Noida, Uttar Pradesh, India",7.4,1.0000,0.8224,0.8081,0.9761,0.9400,1.0000,0.7177,0.0000,,Recommendation Systems Engineer with ranking; Applied ML Engineer with semantic search; Machine Learning Engineer with ranking; Machine Learning Engineer with semantic search; BM25; Recommendation Systems; Pinecone
CAND_0066376,31,0.979842,Applied ML Engineer,"Mumbai, Maharashtra, India",5.7,1.0000,0.8112,1.0000,0.9222,0.8955,0.8700,0.6660,0.0000,,Applied ML Engineer with ranking; Senior Data Scientist with semantic search; Information Retrieval; Learning to Rank; Recommendation Systems
CAND_0010257,32,0.977689,Senior Data Scientist,"Noida, Uttar Pradesh, India",6.5,1.0000,0.7332,0.9742,0.9701,0.9217,1.0000,0.7338,0.0000,,Search Engineer with ranking; Senior Data Scientist with ranking; Senior Data Scientist with production ML; Recommendation Systems; Milvus; OpenSearch
CAND_0086022,33,0.977262,Senior Applied Scientist,"Kolkata, West Bengal, India",5.3,1.0000,0.7840,1.0000,0.8983,1.0000,0.8100,0.6551,0.0000,,Senior Applied Scientist with ranking; Senior ML Engineer — Search & Ranking with semantic search; Recommendation Systems; Vector Search; Embeddings
CAND_0080766,34,0.976437,Staff Machine Learning Engineer,"Coimbatore, Tamil Nadu, India",8.8,1.0000,0.9532,1.0000,0.8923,0.7800,0.8100,0.5870,0.0000,,Staff Machine Learning Engineer; Senior Machine Learning Engineer with semantic search; Lead AI Engineer with ranking; Staff Machine Learning Engineer with ranking; Search Infrastructure; Search & Discovery; Search Backend
CAND_0091909,35,0.976191,Machine Learning Engineer,"Bangalore, Karnataka, India",6.9,0.9308,0.7909,0.9949,0.9940,1.0000,0.8700,0.6740,0.0000,,Machine Learning Engineer with ranking; NLP Engineer with ranking; Learning to Rank; Sentence Transformers; Pinecone
CAND_0014440,36,0.975784,Recommendation Systems Engineer,"Chennai, Tamil Nadu, India",6.4,1.0000,0.8923,0.6771,0.9641,0.9190,0.7300,0.8096,0.0000,,Recommendation Systems Engineer with ranking; NLP Engineer with ranking; NLP Engineer with production ML; FAISS; Qdrant; Elasticsearch
CAND_0096142,37,0.975059,Applied ML Engineer,"Hyderabad, Telangana, India",5.0,1.0000,0.8112,0.8497,0.8803,0.8171,0.8900,0.7975,0.0000,,Applied ML Engineer with ranking; Applied ML Engineer with ranking; Pinecone; Weaviate; BM25
CAND_0094056,38,0.975054,NLP Engineer,"Chennai, Tamil Nadu, India",5.9,1.0000,0.7648,1.0000,0.9342,1.0000,0.8100,0.6190,0.0000,,NLP Engineer with semantic search; Recommendation Systems Engineer with production ML; Embeddings; BM25; Pinecone
CAND_0006557,39,0.973945,NLP Engineer,"Jaipur, Rajasthan, India",7.9,1.0000,0.7648,1.0000,0.9461,0.9400,0.8100,0.6523,0.0000,,NLP Engineer with ranking; Recommendation Systems Engineer with ranking; Vector Search; Information Retrieval; FAISS
CAND_0051292,40,0.972983,Applied ML Engineer,"Trivandrum, Kerala, India",5.2,1.0000,0.8196,0.8886,0.8923,0.8771,0.7300,0.7443,0.0000,,Applied ML Engineer with ranking; Search Engineer with semantic search; Search Engineer with semantic search; Vector Search; RAG; Elasticsearch
CAND_0061257,41,0.971986,Staff Machine Learning Engineer,"Noida, Uttar Pradesh, India",8.0,0.9328,0.9532,0.5784,0.9402,0.9400,1.0000,0.8223,0.0000,,Staff Machine Learning Engineer with ranking; Senior Applied Scientist with ranking; Search Infrastructure; Search Backend; Python
CAND_0009691,42,0.971829,Applied ML Engineer,"Indore, Madhya Pradesh, India",6.2,1.0000,0.8112,1.0000,0.9521,0.8326,0.7200,0.7149,0.0000,,Applied ML Engineer with ranking; AI Engineer with ranking; NLP Engineer with ranking; Recommendation Systems; Qdrant; FAISS
CAND_0075249,43,0.971283,Applied ML Engineer,"Ahmedabad, Gujarat, India",6.2,0.8999,0.8196,1.0000,0.9521,0.9138,0.7300,0.7472,0.0000,,Applied ML Engineer with ranking; Search Engineer with semantic search; Learning to Rank; Pinecone; Milvus
CAND_0069905,44,0.970146,Applied ML Engineer,"Bhubaneswar, Odisha, India",6.6,1.0000,0.8224,1.0000,0.9761,1.0000,0.6000,0.7145,0.0000,,Applied ML Engineer with semantic search; Machine Learning Engineer with semantic search; Recommendation Systems Engineer with semantic search; Learning to Rank; Recommendation Systems; Sentence Transformers
CAND_0043228,45,0.968759,Applied ML Engineer,"Chennai, Tamil Nadu, India",6.8,1.0000,0.8196,0.8634,0.9880,0.9295,0.7300,0.7106,0.0000,,Applied ML Engineer with ranking; Search Engineer with semantic search; Applied ML Engineer with production ML; Learning to Rank; Vector Search; Sentence Transformers
CAND_0049896,46,0.968460,Search Engineer,"Vizag, Andhra Pradesh, India",7.3,1.0000,0.8822,0.8098,0.9820,0.8800,0.8100,0.6776,0.0000,,Search Engineer with semantic search; Applied ML Engineer with ranking; Information Retrieval; Vector Search; Sentence Transformers
CAND_0030953,47,0.961219,Search Engineer,"Chennai, Tamil Nadu, India",7.8,1.0000,0.8822,0.8265,0.9521,0.9400,0.7300,0.6166,0.0000,,Search Engineer with ranking; NLP Engineer with ranking; Machine Learning Engineer with ranking; Applied ML Engineer with semantic search; Learning to Rank; Qdrant; RAG
CAND_0076251,48,0.960724,Search Engineer,"Bhubaneswar, Odisha, India",7.6,1.0000,0.8822,0.8901,0.9641,1.0000,0.6000,0.6880,0.0000,,Search Engineer with semantic search; Senior Data Scientist with production ML; Machine Learning Engineer with production ML; Semantic Search; Learning to Rank; Weaviate
CAND_0029367,49,0.959658,Senior Data Scientist,"Bangalore, Karnataka, India",5.7,0.9564,0.7136,1.0000,0.9222,1.0000,0.8700,0.7521,0.0000,,Senior Data Scientist with semantic search; Applied ML Engineer with semantic search; AI Engineer with semantic search; Recommendation Systems; Vector Search; Sentence Transformers
CAND_0018549,50,0.959073,Recommendation Systems Engineer,"Coimbatore, Tamil Nadu, India",6.8,0.8999,0.8923,0.8534,0.9880,0.7721,0.8100,0.7457,0.0000,,Recommendation Systems Engineer with ranking; Machine Learning Engineer with ranking; Elasticsearch; Qdrant; OpenSearch
CAND_0045250,51,0.958786,Applied ML Engineer,"Delhi, Delhi, India",6.6,0.8597,0.8112,1.0000,0.9761,1.0000,0.8600,0.6949,0.0000,,Applied ML Engineer with ranking; Applied ML Engineer with production ML; Vector Search; Embeddings; Sentence Transformers
CAND_0008425,52,0.957531,Senior NLP Engineer,"Kolkata, West Bengal, India",7.8,1.0000,0.8848,1.0000,0.9521,0.7800,0.6400,0.7054,0.0000,,Senior NLP Engineer with semantic search; Lead AI Engineer with ranking; Senior ML Engineer — Search & Ranking with ranking; Learning to Rank; Information Retrieval; Recommendation Systems
CAND_0093912,53,0.956310,Senior Data Scientist,"Chandigarh, Chandigarh, India",5.3,1.0000,0.7332,0.9685,0.8983,0.8824,0.7300,0.8496,0.0000,,Senior Data Scientist with ranking; Search Engineer with semantic search; AI Engineer with ranking; Vector Search; Milvus; Recommendation Systems
CAND_0099401,54,0.956304,NLP Engineer,"Ahmedabad, Gujarat, India",7.7,1.0000,0.7620,0.9701,0.9581,0.8693,0.8100,0.5777,0.0000,,NLP Engineer with ranking; Applied ML Engineer with ranking; Search Engineer with production ML; NLP Engineer with production ML; Semantic Search; Embeddings; Information Retrieval
CAND_0009024,55,0.954026,Search Engineer,"Chennai, Tamil Nadu, India",5.2,0.9952,0.8822,1.0000,0.8923,0.8064,0.6800,0.7120,0.0000,,Search Engineer with ranking; Applied ML Engineer with ranking; Recommendation Systems; OpenSearch; Qdrant
CAND_0042506,56,0.953779,Search Engineer,"Mumbai, Maharashtra, India",4.2,1.0000,0.8822,1.0000,0.7179,0.9110,0.7800,0.7979,0.0000,,Search Engineer with semantic search; Machine Learning Engineer with ranking; Information Retrieval; FAISS; Semantic Search
CAND_0046525,57,0.950789,Senior Machine Learning Engineer,"Pune, Maharashtra, India",6.1,1.0000,0.9126,0.7824,0.9461,0.4455,1.0000,0.8356,0.0000,,Senior Machine Learning Engineer with semantic search; Senior Machine Learning Engineer with ranking; Information Retrieval; Sentence Transformers; Elasticsearch
CAND_0016163,58,0.950742,Applied ML Engineer,"Gurgaon, Haryana, India",6.7,0.9313,0.8112,0.6969,0.9820,0.9269,0.8400,0.7604,0.0000,,Applied ML Engineer with semantic search; Applied ML Engineer with production ML; NLP Engineer with production ML; Embeddings; Weaviate; Pinecone
CAND_0037980,59,0.948822,Senior Applied Scientist,"Kolkata, West Bengal, India",9.0,1.0000,0.7840,0.8553,0.8803,1.0000,0.8100,0.5966,0.0000,,Senior Applied Scientist with ranking; Senior ML Engineer — Search & Ranking with ranking; Senior ML Engineer — Search & Ranking; Search Infrastructure; BM25; Recommendation Systems
CAND_0081053,60,0.948788,NLP Engineer,"Chandigarh, Chandigarh, India",5.4,1.0000,0.7368,0.9952,0.9043,1.0000,0.8100,0.6995,0.0000,,Machine Learning Engineer with ranking; NLP Engineer with production ML; Semantic Search; Learning to Rank; Weaviate
CAND_0010685,61,0.947805,NLP Engineer,"Kolkata, West Bengal, India",6.7,1.0000,0.7620,0.7734,0.9820,1.0000,0.6400,0.7252,0.0000,,NLP Engineer with ranking; Search Engineer with ranking; Machine Learning Engineer with semantic search; NLP Engineer with production ML; Information Retrieval; Elasticsearch; RAG
CAND_0042029,62,0.947237,Senior Data Scientist,"Delhi, Delhi, India",6.5,1.0000,0.7080,1.0000,0.9701,0.9243,0.8600,0.6814,0.0000,,Senior Data Scientist with ranking; Machine Learning Engineer with semantic search; Learning to Rank; Embeddings; RAG
CAND_0044855,63,0.946928,Senior Data Scientist,"Coimbatore, Tamil Nadu, India",6.6,1.0000,0.7360,1.0000,0.9761,0.9243,0.8100,0.6579,0.0000,,Recommendation Systems Engineer with ranking; Senior Data Scientist with semantic search; Machine Learning Engineer with semantic search; Learning to Rank; Embeddings; Information Retrieval
CAND_0037566,64,0.945913,Machine Learning Engineer,"Bangalore, Karnataka, India",6.9,0.7824,0.7909,0.9577,0.9940,0.9348,0.8700,0.7689,0.0000,,Machine Learning Engineer with semantic search; Machine Learning Engineer with semantic search; Pinecone; Elasticsearch; BM25
CAND_0072660,65,0.944939,Machine Learning Engineer,"Berlin, Germany",7.1,1.0000,0.7909,1.0000,0.9940,0.8800,0.1400,0.7846,0.0000,,NLP Engineer with ranking; Machine Learning Engineer with ranking; Machine Learning Engineer with production ML; Information Retrieval; FAISS; OpenSearch
CAND_0089552,66,0.944823,Machine Learning Engineer,"Kolkata, West Bengal, India",6.0,1.0000,0.8080,1.0000,0.9402,0.7460,0.7600,0.5245,0.0000,,Recommendation Systems Engineer with ranking; Machine Learning Engineer with semantic search; Semantic Search; Vector Search; Qdrant
CAND_0042100,67,0.944721,Machine Learning Engineer,"Singapore, Singapore",7.3,1.0000,0.7909,1.0000,0.9820,0.9400,0.3900,0.7130,0.0000,,Machine Learning Engineer with ranking; Senior Data Scientist with ranking; Learning to Rank; Semantic Search; Recommendation Systems
CAND_0002025,68,0.944423,Senior AI Engineer,"Trivandrum, Kerala, India",5.9,0.7928,0.9937,1.0000,0.9342,0.6700,0.7300,0.9104,0.0000,,Senior AI Engineer with ranking; Lead AI Engineer with ranking; Recommendation Systems; FAISS; Weaviate
CAND_0053695,69,0.944053,Recommendation Systems Engineer,"Bhubaneswar, Odisha, India",5.8,1.0000,0.8923,0.8277,0.9282,0.8090,0.5200,0.7351,0.0000,,Recommendation Systems Engineer with ranking; Machine Learning Engineer with ranking; Applied ML Engineer with semantic search; Embeddings; Recommendation Systems; Pinecone
CAND_0030468,70,0.941778,Senior Applied Scientist,"Indore, Madhya Pradesh, India",5.4,0.8794,0.7560,0.9254,0.9043,0.8876,0.7200,0.8195,0.0000,,Senior Applied Scientist; Senior Machine Learning Engineer; Ranking Systems; Search & Discovery; Recommendation Systems
CAND_0093193,71,0.941313,Senior Machine Learning Engineer,"Bangalore, Karnataka, India",7.9,0.7370,0.9168,0.8781,0.9461,1.0000,0.8700,0.7488,0.0000,,Senior Machine Learning Engineer; Lead AI Engineer; Search & Discovery; Search Backend; Ranking Systems
CAND_0006418,72,0.940251,Machine Learning Engineer,"Gurgaon, Haryana, India",5.7,0.7826,0.7909,1.0000,0.9222,0.9555,0.8400,0.7459,0.0000,,Machine Learning Engineer with ranking; AI Engineer with production ML; Semantic Search; Embeddings; Qdrant
CAND_0083879,73,0.939091,Machine Learning Engineer,"Noida, Uttar Pradesh, India",7.1,1.0000,0.8052,0.5109,0.9940,0.7800,1.0000,0.7346,0.0000,,Search Engineer with ranking; Senior Data Scientist with ranking; Machine Learning Engineer with production ML; Sentence Transformers; Milvus; Fine-tuning LLMs
CAND_0070485,74,0.938442,Search Engineer,"Coimbatore, Tamil Nadu, India",6.4,1.0000,0.8822,0.6404,0.9641,0.9790,0.7300,0.5947,0.0000,,Search Engineer with semantic search; Machine Learning Engineer with ranking; Recommendation Systems; FAISS; Information Retrieval
CAND_0020877,75,0.936662,Applied ML Engineer,"Gurgaon, Haryana, India",5.1,0.8605,0.8112,1.0000,0.8863,0.8771,0.9300,0.6619,0.0000,,Applied ML Engineer with semantic search; Senior Data Scientist with semantic search; Information Retrieval; Elasticsearch; Milvus
CAND_0051630,76,0.935694,Machine Learning Engineer,"Kolkata, West Bengal, India",6.0,0.9927,0.7909,1.0000,0.9402,0.9060,0.6400,0.5573,0.0000,,Machine Learning Engineer with ranking; AI Engineer with semantic search; Information Retrieval; Recommendation Systems; Embeddings
CAND_0094759,77,0.934195,Lead AI Engineer,"Mumbai, Maharashtra, India",8.6,1.0000,0.9734,0.9942,0.9043,0.9400,0.8700,0.4207,0.0500,low recruiter response rate,Lead AI Engineer with semantic search; Senior NLP Engineer with ranking; Senior Applied Scientist with semantic search; Semantic Search; Weaviate; Learning to Rank
CAND_0007411,78,0.931025,Senior Machine Learning Engineer,"Kochi, Kerala, India",8.0,0.8460,0.9126,1.0000,0.9402,0.9400,0.8100,0.4263,0.0000,,Senior Machine Learning Engineer with ranking; Senior Machine Learning Engineer with ranking; Information Retrieval; Vector Search; Learning to Rank
CAND_0049538,79,0.931014,Applied ML Engineer,"Jaipur, Rajasthan, India",5.8,0.8180,0.8224,1.0000,0.9282,0.9581,0.6400,0.7771,0.0000,,Applied ML Engineer with ranking; Recommendation Systems Engineer with production ML; AI Engineer with production ML; Learning to Rank; Recommendation Systems; Vector Search
CAND_0018722,80,0.930003,Recommendation Systems Engineer,"Toronto, Canada",6.6,1.0000,0.8923,0.6133,0.9761,0.9843,0.3400,0.7833,0.0000,,Recommendation Systems Engineer with semantic search; Machine Learning Engineer with ranking; Applied ML Engineer with ranking; Recommendation Systems; Weaviate; Python
CAND_0041568,81,0.929761,Search Engineer,"Sydney, Australia",5.2,1.0000,0.8822,1.0000,0.8923,0.9398,0.2300,0.6372,0.0000,,Search Engineer with ranking; Applied ML Engineer with ranking; Senior Data Scientist with semantic search; Semantic Search; Weaviate; Vector Search
CAND_0066999,82,0.929169,Recommendation Systems Engineer,"Delhi, Delhi, India",5.9,0.7369,0.8923,1.0000,0.9342,0.7433,0.8200,0.8061,0.0000,,Recommendation Systems Engineer with ranking; Senior Data Scientist with production ML; Information Retrieval; FAISS; BM25
CAND_0074225,83,0.929144,Machine Learning Engineer,"Vizag, Andhra Pradesh, India",4.3,1.0000,0.7909,1.0000,0.7238,0.7936,0.8100,0.7953,0.0000,,Machine Learning Engineer with ranking; Machine Learning Engineer with semantic search; Vector Search; Recommendation Systems; Milvus
CAND_0076163,84,0.926282,NLP Engineer,"Chandigarh, Chandigarh, India",6.9,0.8814,0.7301,1.0000,0.9940,0.7748,0.7300,0.8376,0.0000,,NLP Engineer with ranking; NLP Engineer with ranking; Semantic Search; BM25; Sentence Transformers
CAND_0039838,85,0.926077,Recommendation Systems Engineer,"Kochi, Kerala, India",4.9,0.9981,0.8923,1.0000,0.7416,0.8719,0.7300,0.7023,0.0000,,NLP Engineer with ranking; Recommendation Systems Engineer with production ML; Vector Search; Semantic Search; Milvus
CAND_0070398,86,0.925298,Machine Learning Engineer,"Kochi, Kerala, India",7.2,1.0000,0.7909,1.0000,0.9880,0.5057,0.8100,0.6513,0.0000,,Machine Learning Engineer with semantic search; Applied ML Engineer with semantic search; Machine Learning Engineer with ranking; Information Retrieval; Learning to Rank; BM25
CAND_0036437,87,0.924808,Search Engineer,"Kolkata, West Bengal, India",4.8,0.8864,0.8822,1.0000,0.7416,0.9867,0.7200,0.7732,0.0000,,Search Engineer with ranking; Machine Learning Engineer with ranking; AI Engineer with production ML; Vector Search; OpenSearch; FAISS
CAND_0064270,88,0.922609,Applied ML Engineer,"Pune, Maharashtra, India",4.2,1.0000,0.8112,1.0000,0.7179,0.9110,1.0000,0.6028,0.0000,,Applied ML Engineer with ranking; AI Engineer with ranking; Learning to Rank; Embeddings; BM25
CAND_0081686,89,0.920982,Search Engineer,"Austin, USA",6.0,1.0000,0.8822,1.0000,0.9402,0.7460,0.2300,0.6810,0.0000,,Search Engineer with ranking; Recommendation Systems Engineer with semantic search; AI Engineer with ranking; Semantic Search; Embeddings; FAISS
CAND_0060072,90,0.920603,Staff Machine Learning Engineer,"Indore, Madhya Pradesh, India",5.7,1.0000,0.9532,1.0000,0.9222,0.8981,0.8100,0.3717,0.0500,low recruiter response rate,Staff Machine Learning Engineer with ranking; Senior Applied Scientist with ranking; Embeddings; Recommendation Systems; BM25
CAND_0007052,91,0.917926,ML Engineer,"Pune, Maharashtra, India",6.5,0.9913,0.6287,0.8795,0.9701,0.8643,1.0000,0.6792,0.0000,,ML Engineer; Junior ML Engineer; ML Engineer; Vector Search; Elasticsearch; MLOps
CAND_0087364,92,0.916867,Recommendation Systems Engineer,"Gurgaon, Haryana, India",4.9,0.9511,0.8923,0.9018,0.7416,0.9919,0.9300,0.6241,0.0000,,Recommendation Systems Engineer with ranking; Recommendation Systems Engineer with production ML; Milvus; Pinecone; Qdrant
CAND_0005260,93,0.916310,Senior NLP Engineer,"Chennai, Tamil Nadu, India",5.2,0.7814,0.8518,1.0000,0.8923,0.7198,0.7600,0.7373,0.0000,,Senior NLP Engineer with ranking; Senior NLP Engineer with ranking; Semantic Search; Embeddings; Information Retrieval
CAND_0078002,94,0.915854,Machine Learning Engineer,"Coimbatore, Tamil Nadu, India",6.3,1.0000,0.7909,0.4547,0.9581,0.8352,0.7300,0.7857,0.0000,,Machine Learning Engineer with ranking; Applied ML Engineer with ranking; Senior Data Scientist with ranking; QLoRA; Weaviate; BentoML
